,Sentence,Token,Tag
318,12,الضص,O
319,12,ديال,O
320,12,لݣزيرة,O
321,12,شحال,O
322,12,هادا,O
323,12,،,O
324,12,مابين,O
325,12,لميات,O
326,12,ولالوف,O
327,12,دالسنين,O
328,12,هادي,O
329,12,.,O
330,13,فالتقافة,O
331,13,ديال,O
332,13,الناس,O
333,13,دصاموا,B-LOC
334,13,،,O
335,13,أوپولو,B-PER
336,13,هي,O
337,13,أوّل,O
338,13,مرا,O
339,13,سكنات,O
340,13,لݣزيرة,O
341,13,.,O
342,14,ف,O
343,14,29,B-MISC
344,14,شتنبر,I-MISC
345,14,2009,I-MISC
346,14,ضرب,O
347,14,تسونامي,O
348,14,خايب,O
349,14,لݣزيرة,O
350,14,.,O
351,15,20,O
352,15,ڤيلاج,O
353,15,فالجيهة,O
354,15,دلجانوب,O
355,15,رابو,O
356,15,ومنهوم,O
357,15,لبلاد,O
358,15,ديال,O
359,15,الرايس,O
360,15,دلويزارا,O
361,15,ديك,O
362,15,الساعات,O
363,15,.,O
364,16,فلڤيلاج,O
365,16,ديال,O
366,16,ليپا,B-LOC
367,16,،,O
368,16,لكنيسة,O
369,16,ولپلاكة,O
370,16,ديال,O
371,16,الترحيب,O
372,16,فالطريق,O
373,16,اللي,O
374,16,كاتدي,O
375,16,للڤيلاج,O
376,16,هوما,O
377,16,اللي,O
378,16,بقاو,O
379,16,واقفين,O
380,16,.,O
381,17,أوب,B-LOC
382,17,ولاّ,O
383,17,أوبي,B-LOC
384,17,(,O
385,17,ب,O
386,17,الروسية,B-MISC
387,17,:,O
388,17,Обь,B-LOC
389,17,),O
390,17,هو,O
391,17,سابع,O
392,17,أطول,O
393,17,واد,O
394,17,ف,O
395,17,لعالم,O
396,17,،,O
397,17,و,O
398,17,جا,O
399,17,ف,O
400,17,لغرب,O
401,17,ديال,O
402,17,سيبيريا,B-LOC
403,17,.,O
404,18,الطول,O
405,18,ديالو,O
406,18,كامل,O
407,18,هو,O
408,18,5410,O
409,18,كيلوميطر,O
410,18,،,O
411,18,و,O
412,18,مع,O
413,18,لفروع,O
414,18,ديالو,O
415,18,تيدوز,O
416,18,من,O
417,18,تلاتة,O
418,18,د,O
419,18,لبلدان,O
420,18,،,O
421,18,اللي,O
422,18,هي,O
423,18,:,O
424,18,روسيا,B-LOC
425,18,،,O
426,18,مونݣوليا,B-LOC
427,18,و,O
428,18,كازاخستان,B-LOC
429,18,.,O
430,19,لعيون,O
431,19,د,O
432,19,واد,O
433,19,أوب,B-LOC
434,19,جاو,O
435,19,ف,O
436,19,جبال,O
437,19,ألطاي,B-LOC
438,19,ف,O
439,19,لجنوب,O
440,19,د,O
441,19,سيبيريا,B-LOC
442,19,،,O
443,19,و,O
444,19,موراها,O
445,19,تيبقا,O
446,19,طالع,O
447,19,للشمال,O
448,19,،,O
449,19,تا,O
450,19,تيصبّ,O
451,19,ف,O
452,19,لبحر,O
453,19,د,O
454,19,كارا,B-LOC
455,19,،,O
456,19,ف,O
457,19,لمحيط,B-LOC
458,19,لمجمد,I-LOC
459,19,الشمالي,I-LOC
460,19,.,O
461,20,أوب,B-LOC
462,20,تيدوز,O
463,20,من,O
464,20,لمدينة,O
465,20,د,O
466,20,نوڤوسيبيريسك,B-LOC
467,20,،,O
468,20,اللي,O
469,20,هي,O
470,20,تالت,O
471,20,أكبر,O
472,20,مدينة,O
473,20,ف,O
474,20,روسيا,B-LOC
475,20,من,O
476,20,جيهت,O
477,20,السكان,O
478,20,،,O
479,20,و,O
480,20,هي,O
481,20,لبلاصة,O
482,20,اللي,O
483,20,تيقطع,O
484,20,منها,O
485,20,الطران,O
486,20,د,O
487,20,سيبيريا,B-LOC
488,20,باش,O
489,20,يكمّل,O
490,20,طريقو,O
491,20,.,O
492,21,غشت,B-MISC
493,21,هوّا,O
494,21,شّهر,O
495,21,تّامن,O
496,21,ف,O
497,21,تّقويم,O
498,21,لݣريݣوري,O
499,21,،,O
500,21,ؤ,O
501,21,مرتابط,O
502,21,ب,O
503,21,فصل,O
504,21,صّيف,O
505,21,ف,O
506,21,نّص,O
507,21,شّمالي,O
508,21,د,O
509,21,لأرض,O
510,21,،,O
511,21,ؤ,O
512,21,ب,O
513,21,فصل,O
514,21,شّتا,O
515,21,ف,O
516,21,نّص,O
517,21,لجانوبي,O
518,21,د,O
519,21,لأرض,O
520,21,،,O
521,21,ؤ,O
522,21,هوّا,O
523,21,ضونك,O
524,21,لموقابيل,O
525,21,لفصلي,O
526,21,ديال,O
527,21,شهر,O
528,21,فبراير,B-MISC
529,21,.,O
530,22,تاونات,B-LOC
531,22,،,O
532,22,جهة,O
533,22,فاس,B-LOC
534,22,مكناس,B-LOC
535,22,،,O
536,22,ساكنين,O
537,22,فيها,O
538,22,9856,O
539,22,واحد,O
540,22,،,O
541,22,على,O
542,22,حسب,O
543,22,لإحصاء,O
544,22,لعام,O
545,22,2014,O
546,22,.,O
547,23,نسبة,O
548,23,لأمية,O
549,23,(,O
550,23,نّاس,O
551,23,لّي,O
552,23,ما,O
553,23,كايعرفوش,O
554,23,يقراو,O
555,23,ولا,O
556,23,يكتبو,O
557,23,),O
558,23,:,O
559,23,58,O
560,23,%,O
561,23,نسبة,O
562,23,سّكان,O
563,23,لّي,O
564,23,قاريين,O
565,23,فوق,O
566,23,تّانوي,O
567,23,(,O
568,23,تانوي,O
569,23,و,O
570,23,جامعة,O
571,23,),O
572,23,:,O
573,23,3,O
574,23,",",O
575,23,1,O
576,23,%,O
577,23,نسبة,O
578,23,نّاس,O
579,23,نّشيطين,O
580,23,(,O
581,23,لّي,O
582,23,يقدرو,O
583,23,يخدمو,O
584,23,),O
585,23,:,O
586,23,47,O
587,23,%,O
588,23,نسبة,O
589,23,لبطالة,O
590,23,(,O
591,23,نّاس,O
592,23,لّي,O
593,23,ما,O
594,23,خدامينش,O
595,23,و,O
596,23,تايقلبو,O
597,23,على,O
598,23,خدمة,O
599,23,),O
600,23,:,O
601,23,2,O
602,23,",",O
603,23,1,O
604,23,%,O
605,23,نسبة,O
606,23,نّاس,O
607,23,اللي,O
608,23,خدامين,O
609,23,ف,O
610,23,دّولة,O
611,23,(,O
612,23,ولا,O
613,23,لعاطلين,O
614,23,اللي,O
615,23,سبق,O
616,23,ليهوم,O
617,23,خدمو,O
618,23,),O
619,23,:,O
620,23,2,O
621,23,%,O
622,23,نسبة,O
623,23,نّاس,O
624,23,اللي,O
625,23,خدامين,O
626,23,في,O
627,23,لقطاع,O
628,23,لخاص,O
629,23,(,O
630,23,ولا,O
631,23,لعاطلين,O
632,23,اللي,O
633,23,سبق,O
634,23,ليهوم,O
635,23,خدمو,O
636,23,),O
637,23,:,O
638,23,18,O
639,23,%,O
640,23,جيهة,O
641,23,أ,O
642,23,وطاݣو,B-LOC
643,23,(,O
644,23,ب,O
645,23,النݣليزية,B-MISC
646,23,:,O
647,23,Otago,B-LOC
648,23,Region,O
649,23,،,O
650,23,بلوغة,O
651,23,شعب,O
652,23,لماوري,B-MISC
653,23,:,O
654,23,Ōtākou,B-LOC
655,23,),O
656,23,هي,O
657,23,وحدة,O
658,23,من,O
659,23,لجيهات,O
660,23,ديال,O
661,23,نيوزيلاندا,B-LOC
662,23,اللي,O
663,23,كاينة,O
664,23,فلجانوب,O
665,23,الشرقي,O
666,23,ديال,O
667,23,لݣزيرة,B-LOC
668,23,دلجانوب,I-LOC
669,23,.,O
670,24,لعاصيمة,O
671,24,ديال,O
672,24,هاد,O
673,24,لجيهة,O
674,24,هي,O
675,24,دونيدين,B-LOC
676,24,.,O
677,25,لميساحة,O
678,25,ديالها,O
679,25,واصلة,O
680,25,ل,O
681,25,31,O
682,25,",",O
683,25,241,O
684,25,كم²,O
685,25,،,O
686,25,والسكان,O
687,25,ديالها,O
688,25,واصلين,O
689,25,ل,O
690,25,229,O
691,25,",",O
692,25,200,O
693,25,على,O
694,25,حساب,O
695,25,ليحصاء,O
696,25,ديال,O
697,25,2018,O
698,25,.,O
699,26,محادينها,O
700,26,جيهة,O
701,26,كانطربوري,B-LOC
702,26,،,O
703,26,جيهة,O
704,26,الساحل,O
705,26,لغربي,O
706,26,وجيهة,O
707,26,ساوتلاند,B-LOC
708,26,.,O
709,27,لمدون,O
710,27,لعشرة,O
711,27,لكبار,O
712,27,ديال,O
713,27,جيهة,O
714,27,أوطاݣو,B-LOC
715,27,:,O
716,27,ؤطاكو,B-MISC
717,27,(,O
718,27,ب,O
719,27,جاپونية,B-MISC
720,27,お宅,O
721,27,ؤلا,O
722,27,オタク,O
723,27,ؤلا,O
724,27,ヲタク,O
725,27,),O
726,27,هيّا,O
727,27,واحد,O
728,27,لكلمة,O
729,27,أصلها,O
730,27,جاپوني,O
731,27,كتݣال,O
732,27,ف,O
733,27,لمغريب,B-LOC
734,27,ؤ,O
735,27,ف,O
736,27,بزاف,O
737,27,د,O
738,27,لبلدان,O
739,27,علا,O
740,27,نّاس,O
741,27,لي,O
742,27,عزيز,O
743,27,عليهوم,O
744,27,لأنيمي,B-MISC
745,27,ؤلا,O
746,27,لمانݣا,B-MISC
747,27,.,O
748,28,ف,O
749,28,جاپونية,B-MISC
750,28,كتشير,O
751,28,ل,O
752,28,أي,O
753,28,واحد,O
754,28,عندو,O
755,28,هواية,O
756,28,كيحماق,O
757,28,عليها,O
758,28,،,O
759,28,بحال,O
760,28,لّوعاب,O
761,28,د,O
762,28,تيليجو,B-MISC
763,28,،,O
764,28,ؤ,O
765,28,كيتبع,O
766,28,لجديد,O
767,28,ؤ,O
768,28,لأخبار,O
769,28,ديالها,O
770,28,ؤ,O
771,28,ف,O
772,28,بعض,O
773,28,لمرات,O
774,28,كيشري,O
775,28,أي,O
776,28,حاجة,O
777,28,متعلقة,O
778,28,ب,O
779,28,ديك,O
780,28,لهواية,O
781,28,.,O
782,29,كتكوّن,O
783,29,هاد,O
784,29,لكلمة,O
785,29,من,O
786,29,جوج,O
787,29,د,O
788,29,لمورصوات,O
789,29,:,O
790,29,مورصو,O
791,29,ؤ,O
792,29,كيعني,O
793,29,تّفخيم,O
794,29,ؤ,O
795,29,مرصو,O
796,29,طاكو,O
797,29,لي,O
798,29,كيعني,O
799,29,دّار,O
800,29,ب,O
801,29,جّاپونية,B-MISC
802,29,(,O
803,29,ؤطاكو,B-MISC
804,29,هي,O
805,29,طريقة,O
806,29,مأدبة,O
807,29,ؤ,O
808,29,مصوابة,O
809,29,باش,O
810,29,تݣول,O
811,29,ل,O
812,29,شي,O
813,29,واحد,O
814,29,دارك,O
815,29,ؤلا,O
816,29,نتا,O
817,29,),O
818,29,.,O
819,30,لمقابل,O
820,30,ديالها,O
821,30,ب,O
822,30,نݣليزية,B-MISC
823,30,هوّا,O
824,30,ݣيك,O
825,30,Geek,B-MISC
826,30,.,O
827,31,كلمة,O
828,31,ؤطاكو,B-MISC
829,31,تستعملات,O
830,31,ل,O
831,31,أول,O
832,31,مرة,O
833,31,بشكل,O
834,31,رسمي,O
835,31,ف,O
836,31,مقال,O
837,31,ديال,O
838,31,صّحفي,O
839,31,أكيو,B-PER
840,31,ناكاموري,I-PER
841,31,نشرو,O
842,31,ف,O
843,31,1983,O
844,31,ب,O
845,31,عنوان,O
846,31,おたくの研究,O
847,31,(,O
848,31,دراسة,B-MISC
849,31,ديال,I-MISC
850,31,لؤطاكو,I-MISC
851,31,),O
852,31,،,O
853,31,ؤ,O
854,31,من,O
855,31,تماك,O
856,31,ولّات,O
857,31,منتاشرة,O
858,31,بزاف,O
859,31,.,O
860,32,قبل,O
861,32,من,O
862,32,داكشي,O
863,32,كانو,O
864,32,شلّة,O
865,32,د,O
866,32,لكلمات,O
867,32,موجودين,O
868,32,ف,O
869,32,جّاپون,B-LOC
870,32,كيشيرو,O
871,32,ل,O
872,32,هاد,O
873,32,نّوع,O
874,32,د,O
875,32,نّاس,O
876,32,.,O
877,33,كلمة,O
878,33,ؤطاكو,B-MISC
879,33,ف,O
880,33,تّمانينات,O
881,33,كان,O
882,33,عندها,O
883,33,معنى,O
884,33,شوية,O
885,33,تحقيري,O
886,33,ؤ,O
887,33,كانت,O
888,33,كتشير,O
889,33,ل,O
890,33,ناس,O
891,33,عندهم,O
892,33,مشاكل,O
893,33,نفسية,O
894,33,ؤ,O
895,33,جتيماعية,O
896,33,،,O
897,33,نعيزاليين,O
898,33,ؤ,O
899,33,مهووسين,O
900,33,ب,O
901,33,لهواية,O
902,33,ديالهم,O
903,33,.,O
904,34,معا,O
905,34,مرور,O
906,34,لوقت,O
907,34,،,O
908,34,سيرتو,O
909,34,معا,O
910,34,لنتيشار,O
911,34,د,O
912,34,لأنترنيت,O
913,34,ولّا,O
914,34,عندها,O
915,34,معنى,O
916,34,إيجابي,O
917,34,.,O
918,35,ؤ,O
919,35,معا,O
920,35,ولّات,O
921,35,طبقة,O
922,35,كبيرة,O
923,35,ديال,O
924,35,لؤطاكو,B-MISC
925,35,ف,O
926,35,جّاپون,B-LOC
927,35,ؤ,O
928,35,علا,O
929,35,برا,O
930,35,،,O
931,35,ولّات,O
932,35,صناعات,O
933,35,خاصة,O
934,35,باش,O
935,35,تلبي,O
936,35,رّغبات,O
937,35,ديالهم,O
938,35,،,O
939,35,من,O
940,35,لإنتاج,O
941,35,ديال,O
942,35,لأنيميات,B-MISC
943,35,،,O
944,35,لمانݣات,B-MISC
945,35,،,O
946,35,لپوسطيرات,O
947,35,،,O
948,35,تّماتيل,O
949,35,ديال,O
950,35,شّخصيات,O
951,35,،,O
952,35,لّبسات,O
953,35,ؤ,O
954,35,غيرهم,O
955,35,.,O
956,36,لحجم,O
957,36,ديال,O
958,36,سّوق,O
959,36,ديال,O
960,36,لؤطاكو,B-MISC
961,36,تقدّر,O
962,36,ب,O
963,36,2,O
964,36,ترليون,O
965,36,ين,B-MISC
966,36,جاپوني,I-MISC
967,36,ف,O
968,36,2003,O
969,36,،,O
970,36,ؤلا,O
971,36,18,O
972,36,مليار,O
973,36,دولار,B-MISC
974,36,ميريكاني,I-MISC
975,36,.,O
976,37,أوتربات,B-LOC
977,37,جماعة,O
978,37,ترابية,O
979,37,قروية,O
980,37,كاينة,O
981,37,ف,O
982,37,إقليم,O
983,37,/,O
984,37,عمالة,O
985,37,ميدلت,B-LOC
986,37,،,O
987,37,جهة,O
988,37,درعا,B-LOC
989,37,تافيلالت,B-LOC
990,37,،,O
991,37,ساكنين,O
992,37,فيها,O
993,37,6819,O
994,37,واحد,O
995,37,،,O
996,37,على,O
997,37,حسب,O
998,37,لإحصاء,O
999,37,لعام,O
1000,37,2014,O
1001,37,.,O
1002,38,نسبة,O
1003,38,لأمية,O
1004,38,(,O
1005,38,نّاس,O
1006,38,لّي,O
1007,38,ما,O
1008,38,كايعرفوش,O
1009,38,يقراو,O
1010,38,ولا,O
1011,38,يكتبو,O
1012,38,),O
1013,38,:,O
1014,38,56,O
1015,38,%,O
1016,38,نسبة,O
1017,38,سّكان,O
1018,38,لّي,O
1019,38,قاريين,O
1020,38,فوق,O
1021,38,تّانوي,O
1022,38,(,O
1023,38,تانوي,O
1024,38,و,O
1025,38,جامعة,O
1026,38,),O
1027,38,:,O
1028,38,4,O
1029,38,",",O
1030,38,7,O
1031,38,%,O
1032,38,نسبة,O
1033,38,نّاس,O
1034,38,نّشيطين,O
1035,38,(,O
1036,38,لّي,O
1037,38,يقدرو,O
1038,38,يخدمو,O
1039,38,),O
1040,38,:,O
1041,38,66,O
1042,38,",",O
1043,38,7,O
1044,38,%,O
1045,38,نسبة,O
1046,38,لبطالة,O
1047,38,(,O
1048,38,نّاس,O
1049,38,لّي,O
1050,38,ما,O
1051,38,خدامينش,O
1052,38,و,O
1053,38,تايقلبو,O
1054,38,على,O
1055,38,خدمة,O
1056,38,),O
1057,38,:,O
1058,38,2,O
1059,38,",",O
1060,38,1,O
1061,38,%,O
1062,38,نسبة,O
1063,38,نّاس,O
1064,38,اللي,O
1065,38,خدامين,O
1066,38,ف,O
1067,38,دّولة,O
1068,38,:,O
1069,38,2,O
1070,38,",",O
1071,38,8,O
1072,38,%,O
1073,38,نسبة,O
1074,38,نّاس,O
1075,38,اللي,O
1076,38,خدامين,O
1077,38,في,O
1078,38,لقطاع,O
1079,38,لخاص,O
1080,38,:,O
1081,38,21,O
1082,38,",",O
1083,38,2,O
1084,38,%,O
1085,38,ؤطو,B-PER
1086,38,فون,I-PER
1087,38,بيسمارك,I-PER
1088,38,(,O
1089,38,ب,O
1090,38,لألمانية,B-MISC
1091,38,:,O
1092,38,Otto,B-PER
1093,38,von,I-PER
1094,38,Bismarck,I-PER
1095,38,),O
1096,38,(,O
1097,38,تولد,O
1098,38,ف,O
1099,38,1,B-MISC
1100,38,أبريل,I-MISC
1101,38,1815,I-MISC
1102,38,ف,O
1103,38,شونهاوزن,B-LOC
1104,38,-,O
1105,38,مات,O
1106,38,ف,O
1107,38,30,B-MISC
1108,38,يوليوز,I-MISC
1109,38,1898,I-MISC
1110,38,ف,O
1111,38,فريدريشسروه,B-LOC
1112,38,),O
1113,38,كان,O
1114,38,سياسي,O
1115,38,و,O
1116,38,ديبلوماسي,O
1117,38,و,O
1118,38,كتاتبي,O
1119,38,ألماني,B-MISC
1120,38,،,O
1121,38,معروف,O
1122,38,باللي,O
1123,38,هو,O
1124,38,اللي,O
1125,38,وحّد,O
1126,38,ألمانيا,B-LOC
1127,38,من,O
1128,38,بزاف,O
1129,38,د,O
1130,38,لإمارات,O
1131,38,مفارقة,O
1132,38,ل,O
1133,38,بلاد,O
1134,38,وحدة,O
1135,38,صحيحة,O
1136,38,و,O
1137,38,كبيرة,O
1138,38,.,O
1139,39,فون,B-PER
1140,39,بيسمارك,I-PER
1141,39,كان,O
1142,39,هو,O
1143,39,رئيس,O
1144,39,لووزارا,O
1145,39,د,O
1146,39,لمملكة,O
1147,39,د,O
1148,39,پروسيا,B-LOC
1149,39,من,O
1150,39,1862,O
1151,39,تال,O
1152,39,1890,O
1153,39,،,O
1154,39,كان,O
1155,39,من,O
1156,39,لمؤسسين,O
1157,39,د,O
1158,39,لإمبراطورية,B-ORG
1159,39,د,I-ORG
1160,39,ألمانيا,I-ORG
1161,39,ف,O
1162,39,1871,O
1163,39,من,O
1164,39,مورا,O
1165,39,بزاف,O
1166,39,د,O
1167,39,لحروب,O
1168,39,مع,O
1169,39,الدانمارك,B-LOC
1170,39,و,O
1171,39,لوطريش,B-LOC
1172,39,و,O
1173,39,فرانسا,B-LOC
1174,39,،,O
1175,39,و,O
1176,39,كان,O
1177,39,أول,O
1178,39,مستشار,O
1179,39,ديالها,O
1180,39,.,O
1181,40,مات,O
1182,40,بيسمارك,B-PER
1183,40,نهار,O
1184,40,30,B-MISC
1185,40,يوليوز,I-MISC
1186,40,،,O
1187,40,و,O
1188,40,تبنا,O
1189,40,ليه,O
1190,40,ضريح,O
1191,40,باقي,O
1192,40,تيزوروه,O
1193,40,الناس,O
1194,40,تال,O
1195,40,دابا,O
1196,40,.,O
1197,41,خنيفرة,B-LOC
1198,41,،,O
1199,41,جهة,O
1200,41,بني,B-LOC
1201,41,ملال,I-LOC
1202,41,خنيفرة,B-LOC
1203,41,،,O
1204,41,ساكنين,O
1205,41,فيها,O
1206,41,16145,O
1207,41,واحد,O
1208,41,،,O
1209,41,على,O
1210,41,حسب,O
1211,41,لإحصاء,O
1212,41,لعام,O
1213,41,2014,O
1214,41,.,O
1215,42,نسبة,O
1216,42,لأمية,O
1217,42,(,O
1218,42,نّاس,O
1219,42,لّي,O
1220,42,ما,O
1221,42,كايعرفوش,O
1222,42,يقراو,O
1223,42,ولا,O
1224,42,يكتبو,O
1225,42,),O
1226,42,:,O
1227,42,46,O
1228,42,",",O
1229,42,5,O
1230,42,%,O
1231,42,نسبة,O
1232,42,سّكان,O
1233,42,لّي,O
1234,42,قاريين,O
1235,42,فوق,O
1236,42,تّانوي,O
1237,42,(,O
1238,42,تانوي,O
1239,42,و,O
1240,42,جامعة,O
1241,42,),O
1242,42,:,O
1243,42,11,O
1244,42,",",O
1245,42,4,O
1246,42,%,O
1247,42,نسبة,O
1248,42,نّاس,O
1249,42,نّشيطين,O
1250,42,(,O
1251,42,لّي,O
1252,42,يقدرو,O
1253,42,يخدمو,O
1254,42,),O
1255,42,:,O
1256,42,43,O
1257,42,",",O
1258,42,5,O
1259,42,%,O
1260,42,نسبة,O
1261,42,لبطالة,O
1262,42,(,O
1263,42,نّاس,O
1264,42,لّي,O
1265,42,ما,O
1266,42,خدامينش,O
1267,42,و,O
1268,42,تايقلبو,O
1269,42,على,O
1270,42,خدمة,O
1271,42,),O
1272,42,:,O
1273,42,13,O
1274,42,",",O
1275,42,1,O
1276,42,%,O
1277,42,نسبة,O
1278,42,نّاس,O
